@Comp_Define,COMP1(AR), COMP2(AG), COMP3(AA),COMP4,COMP5,,,
@UNIT,TIME(h),DV(umol/L),AMT(umol),Rat dose = 0.48mg/kg,0.96 mg/kg,,2.4mg/kg,
@ Rat Weight = 250 g,,,,,,,,
@Route: 1 = IV; 2 = IG,,,,,,,,
@ID,TIME,DV,AMT,MDV,CMT,EVID,DOSE_LEVEL,RTE
3,15,0.042180548,0,0,3,0,0.32222475,1
3,15,0.19631553,0,0,4,0,0.32222475,1
3,20,0.11752737,0,0,2,0,0.32222475,1
3,20,0.03760231,0,0,3,0,0.32222475,1
3,20,0.18232821,0,0,4,0,0.32222475,1
3,30,0.086375655,0,0,2,0,0.32222475,1
3,30,0.022411296,0,0,3,0,0.32222475,1
3,30,0.12740623,0,0,4,0,0.32222475,1
3,45,0,0,1,2,0,0.32222475,1
3,45,0,0,1,3,0,0.32222475,1
3,45,0,0,1,4,0,0.32222475,1
3,60,0,0,1,2,0,0.32222475,1
3,60,0,0,1,3,0,0.32222475,1
3,60,0,0,1,4,0,0.32222475,1
3,90,0,0,1,2,0,0.32222475,1
3,90,0,0,1,3,0,0.32222475,1
3,90,0,0,1,4,0,0.32222475,1
3,120,0,0,1,2,0,0.32222475,1
3,120,0,0,1,3,0,0.32222475,1
3,120,0,0,1,4,0,0.32222475,1
4,0,0,0.32222475,1,2,1,0.32222475,1
4,2,0.42806118,0,0,2,0,0.32222475,1
4,2,0.075710546,0,0,3,0,0.32222475,1
4,2,0.22091273,0,0,4,0,0.32222475,1
4,5,0.60748969,0,0,2,0,0.32222475,1
4,5,0.06290999,0,0,3,0,0.32222475,1
4,5,0.22759493,0,0,4,0,0.32222475,1
4,10,0.2650761,0,0,2,0,0.32222475,1
4,10,0.04309284,0,0,3,0,0.32222475,1
4,10,0.20214153,0,0,4,0,0.32222475,1
4,15,0.20983376,0,0,2,0,0.32222475,1
4,15,0.033287502,0,0,3,0,0.32222475,1
4,15,0.14980259,0,0,4,0,0.32222475,1
4,20,0.099858779,0,0,2,0,0.32222475,1
4,20,0.032202362,0,0,3,0,0.32222475,1
4,20,0.17512154,0,0,4,0,0.32222475,1
4,30,0.071663251,0,0,2,0,0.32222475,1
4,30,0.027932009,0,0,3,0,0.32222475,1
4,30,0.11485826,0,0,4,0,0.32222475,1
4,45,0.039345847,0,0,2,0,0.32222475,1
4,45,0.008904814,0,0,3,0,0.32222475,1
4,45,0.044411885,0,0,4,0,0.32222475,1
4,60,0,0,1,2,0,0.32222475,1
4,60,0,0,1,3,0,0.32222475,1
4,60,0,0,1,4,0,0.32222475,1
4,90,0,0,1,2,0,0.32222475,1
4,90,0,0,1,3,0,0.32222475,1
4,90,0,0,1,4,0,0.32222475,1
4,120,0,0,1,2,0,0.32222475,1
4,120,0,0,1,3,0,0.32222475,1
4,120,0,0,1,4,0,0.32222475,1
5,0,0,0.32222475,1,2,1,0.32222475,1
5,2,0.74112689,0,0,2,0,0.32222475,1
5,2,0.10271346,0,0,3,0,0.32222475,1
5,2,0.29756558,0,0,4,0,0.32222475,1
5,5,0.69790801,0,0,2,0,0.32222475,1
5,5,0.10137468,0,0,3,0,0.32222475,1
5,5,0.300114,0,0,4,0,0.32222475,1
5,10,0.33251442,0,0,2,0,0.32222475,1
5,10,0.075230045,0,0,3,0,0.32222475,1
5,10,0.294529,0,0,4,0,0.32222475,1
5,15,0.29694147,0,0,2,0,0.32222475,1
5,15,0.065307876,0,0,3,0,0.32222475,1
5,15,0.26110578,0,0,4,0,0.32222475,1
5,20,0.19322155,0,0,2,0,0.32222475,1
5,20,0.0382749,0,0,3,0,0.32222475,1
5,20,0.16223129,0,0,4,0,0.32222475,1
5,30,0.14248743,0,0,2,0,0.32222475,1
5,30,0.042252846,0,0,3,0,0.32222475,1
5,30,0.15743971,0,0,4,0,0.32222475,1
5,45,0.067844436,0,0,2,0,0.32222475,1
5,45,0.025642922,0,0,3,0,0.32222475,1
5,45,0.098244011,0,0,4,0,0.32222475,1
5,60,0,0,1,2,0,0.32222475,1
5,60,0,0,1,3,0,0.32222475,1
5,60,0,0,1,4,0,0.32222475,1
5,90,0,0,1,2,0,0.32222475,1
5,90,0,0,1,3,0,0.32222475,1
5,90,0,0,1,4,0,0.32222475,1
5,120,0,0,1,2,0,0.32222475,1
5,120,0,0,1,3,0,0.32222475,1
5,120,0,0,1,4,0,0.32222475,1
6,0,0,0.32222475,1,2,1,0.32222475,1
6,2,0.8614443,0,0,2,0,0.32222475,1
6,2,0.12276036,0,0,3,0,0.32222475,1
6,2,0.26255685,0,0,4,0,0.32222475,1
6,5,0.76168669,0,0,2,0,0.32222475,1
6,5,0.094595256,0,0,3,0,0.32222475,1
6,5,0.28543519,0,0,4,0,0.32222475,1
6,10,0.44779746,0,0,2,0,0.32222475,1
6,10,0.082741884,0,0,3,0,0.32222475,1
6,10,0.27370838,0,0,4,0,0.32222475,1
6,15,0.20702132,0,0,2,0,0.32222475,1
6,15,0.036877694,0,0,3,0,0.32222475,1
6,15,0.16791856,0,0,4,0,0.32222475,1
6,20,0.19259706,0,0,2,0,0.32222475,1
6,20,0.036815967,0,0,3,0,0.32222475,1
6,20,0.13812851,0,0,4,0,0.32222475,1
6,30,0.099141209,0,0,2,0,0.32222475,1
6,30,0.024645785,0,0,3,0,0.32222475,1
6,30,0.10748701,0,0,4,0,0.32222475,1
6,45,0.022548854,0,0,2,0,0.32222475,1
6,45,0.010228142,0,0,3,0,0.32222475,1
6,45,0.053778783,0,0,4,0,0.32222475,1
6,60,0,0,1,2,0,0.32222475,1
6,60,0,0,1,3,0,0.32222475,1
6,60,0,0,1,4,0,0.32222475,1
6,90,0,0,1,2,0,0.32222475,1
6,90,0,0,1,3,0,0.32222475,1
6,90,0,0,1,4,0,0.32222475,1
6,120,0,0,1,2,0,0.32222475,1
6,120,0,0,1,3,0,0.32222475,1
6,120,0,0,1,4,0,0.32222475,1
7,0,0,0.6445,1,2,1,0.6445,1
7,2,1.6538426,0,0,2,0,0.6445,1
7,2,0.2205557,0,0,3,0,0.6445,1
7,2,0.50429487,0,0,4,0,0.6445,1
7,5,1.0392639,0,0,2,0,0.6445,1
7,5,0.1485928,0,0,3,0,0.6445,1
